Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Rajesh Kumar,Male,"Master of Technology in Information Technology, Indian Institute of Technology, Delhi, 2003
Bachelor of Science in Computer Science, University of Delhi, Delhi, 2001",Infosys.,rajesh.kumar@example.com,linkedin.com/in/rajeshkumar-it,+91 98765 43210,Indian,Senior Systems Administrator,"Master of Technology in Information Technology 
Bachelor of Science in Computer Science",16.9 years,"1. Linux Systems Management
2. Windows Server Configuration
3. Network Infrastructure
4. Network Security Protocols
5. Cloud Infrastructure Management (AWS and Azure)
6. Linux-based Virtualization Technologies (VMware, Hyper-V, KVM)
7. Disaster Recovery Planning
8. Linux Automation and Scripting (Bash, PowerShell)
9. Bash Scripting
10. PowerShell Scripting
11. Cloud Scaling
12. Cost-effectiveness in Linux Systems
13. Enhanced Performance in Linux Systems
14. Resource Utilization Optimization
15. Scalability through Virtualization
16. Linux Native KVM
17. VMware
18. Hyper-V
19. AWS
20. Azure
21. Linux
22. Windows Server
23. Linux Native KVM
24. Bash
25. PowerShell",System Administration_15.docx,Rajesh Kumar,Reject,Skill set not satisfactory
Rajesh Kumar,Male,"Master of Technology in Information Technology, Indian Institute of Technology, Delhi, 2003
Bachelor of Science in Computer Science, University of Delhi, Delhi, 2001",Infosys.,rajesh.kumar@example.com,linkedin.com/in/rajeshkumar-it,+91 98765 43210,Indian,Senior Systems Administrator,"Master of Technology in Information Technology 
Bachelor of Science in Computer Science",16.9 years,"1. Linux Systems Management
2. Windows Server Configuration
3. Network Infrastructure
4. Network Security Protocols
5. Cloud Infrastructure Management (AWS and Azure)
6. Linux-based Virtualization Technologies (VMware, Hyper-V, KVM)
7. Disaster Recovery Planning
8. Linux Automation and Scripting (Bash, PowerShell)
9. Bash Scripting
10. PowerShell Scripting
11. Cloud Scaling
12. Cost-effectiveness in Linux Systems
13. Enhanced Performance in Linux Systems
14. Resource Utilization Optimization
15. Scalability through Virtualization
16. Linux Native KVM
17. VMware
18. Hyper-V
19. AWS
20. Azure
21. Linux
22. Windows Server
23. Linux Native KVM
24. Bash
25. PowerShell",System Administration_15.docx,Rajesh Kumar,Accept,Has the required skill set
Samir Al-Farsi,Male,"Bachelor of Science in Computer Science, University of Jordan, Amman, Jordan, 2017.",Jordanian Digital Services.,samir.alfarsi@example.com,linkedin.com/in/samiralfarsi,+962 7000 8888,Jordanian,Senior Systems Administrator.,Bachelor of Science in Computer Science.,6.083 years,"1. System Administration
2. Virtualization Technologies
3. Cloud Services
4. Security
5. Automation and Scripting
6. PowerShell scripting
7. Bash scripting
8. Active Directory
9. Network services (DNS, DHCP, SMTP, VPN)
10. Firewall configurations
11. Endpoint security solutions
12. AWS
13. Azure
14. EC2
15. S3
16. Azure Active Directory
17. VMware
18. Hyper-V
19. Linux
20. Windows",sr System Administration.docx,Samir Al-Farsi,Accept,Has a strong background in systems administration
Amir bin Mohamed,Male,"Bachelor of Information Technology, Universiti Teknologi Malaysia, Skudai, Johor, 2002.",Petronas,amir.mohamed@example.com,linkedin.com/in/amirmohamed-it,+60 12-345 6789,Malaysian,Senior Systems Administrator,Bachelor of Information Technology.,19 years.,"1. Configuring servers (Windows, Linux)
2. Maintaining servers (Windows, Linux)
3. Optimizing servers (Windows, Linux)
4. Configuring network systems
5. Maintaining network systems
6. Optimizing network systems
7. Configuring storage solutions
8. Maintaining storage solutions
9. Optimizing storage solutions
10. Implementing robust network security measures
11. Conducting vulnerability assessments
12. Managing compliance with data protection regulations
13. Deploying cloud infrastructures (AWS, Azure)
14. Managing cloud infrastructures (AWS, Azure)
15. Enhancing scalability
16. Improving cost-efficiency
17. Improving disaster recovery capabilities
18. Leveraging virtualization technologies (VMware, Hyper-V)
19. Leveraging containerization tools (Docker, Kubernetes)
20. Improving resource efficiency
21. Improving deployment speed
22. Utilizing scripting (PowerShell, Bash)
23. Automating operations
24. Enhancing system management
25. Reducing manual workloads
26. Utilizing automation tools
27. Improving data integrity
28. Implementing security protocols
29. Conducting system migrations
30. Conducting infrastructure",System Administration_16.docx,Amir bin Mohamed,Reject,"Does not display any understanding of databases, network configurations and patch management"
Li Wei,Male,"Bachelor of Engineering in Information Technology, Tsinghua University, Beijing, China, 2022",Huawei Technologies.,li.wei@example.com,linkedin.com/in/liwei,+86 138 0000 0000,Chinese,IT Support Intern,Bachelor of Engineering in Information Technology.,2.5 years,"1. System setup
2. System configuration
3. System maintenance
4. DHCP configuration
5. DNS configuration
6. Firewall configuration
7. TCP/IP understanding
8. VMware usage
9. VirtualBox usage
10. Virtual machine creation
11. Virtual machine management
12. AWS usage
13. Azure usage
14. Cloud infrastructure establishment
15. Application deployment
16. Bash scripting
17. PowerShell scripting
18. Automation of routine system administration tasks
19. Network security assessment
20. Network security improvement recommendations
21. Mandarin language
22. English language",Entry-Level Systems Administrator_10.docx,Li Wei,Accept,Skill set matches the required one
Li Wei,Male,"Bachelor of Engineering in Information Technology, Tsinghua University, Beijing, China, 2022",Huawei Technologies.,li.wei@example.com,linkedin.com/in/liwei,+86 138 0000 0000,Chinese,IT Support Intern,Bachelor of Engineering in Information Technology.,2.5 years,"1. System setup
2. System configuration
3. System maintenance
4. DHCP configuration
5. DNS configuration
6. Firewall configuration
7. TCP/IP understanding
8. VMware usage
9. VirtualBox usage
10. Virtual machine creation
11. Virtual machine management
12. AWS usage
13. Azure usage
14. Cloud infrastructure establishment
15. Application deployment
16. Bash scripting
17. PowerShell scripting
18. Automation of routine system administration tasks
19. Network security assessment
20. Network security improvement recommendations
21. Mandarin language
22. English language",Entry-Level Systems Administrator_10.docx,Li Wei,Reject,Has not displayed the required professional experience
Connor Murphy,Male,"Bachelor of Science in Computer Science, Trinity College Dublin, Dublin, Ireland, 2014.",GreenTech Solutions,connor.murphy@example.com,https://www.linkedin.com/in/connormurphy,+353 87 123 4567,Irish,Senior Systems Administrator.,Bachelor of Science in Computer Science,11 years,"1. Windows Server administration
2. Linux administration (Ubuntu, CentOS)
3. VMware ESXi
4. vSphere
5. Docker
6. AWS deployment and management
7. Azure deployment and management
8. EC2 management
9. S3 management
10. Azure Virtual Machines management
11. Azure Active Directory management
12. Firewall configurations
13. VPN setup
14. Security protocols
15. PowerShell
16. Bash
17. Ansible
18. Project management
19. Team leadership
20. Problem-solving
21. Cloud migration
22. Network security
23. Disaster recovery planning
24. Server maintenance
25. Network configuration
26. End-user support
27. Software deployment
28. Hardware deployment
29. Scripting
30. Automation",Experienced Systems Administrator_8.docx,Connor Murphy,Accept,Has a strong background in systems administration
Claire Dubois,Female,"Bachelor of Science in Computer Science, Sorbonne University, Paris, France, 2012.",Orange S.A.,claire.dubois@example.com,linkedin.com/in/clairedubois-it,+33 6 12 34 56 78,French,Systems Administrator,Bachelor of Science in Computer Science,12 years,"1. Server administration
2. Network administration
3. Database system administration
4. Cybersecurity
5. System audits
6. Compliance with IT security standards
7. Cloud infrastructure deployment (AWS, Azure)
8. Cloud infrastructure management
9. Disaster recovery
10. Scripting languages (PowerShell, Bash)
11. Automation
12. Routine task automation
13. System efficiencies improvement
14. Hardware troubleshooting
15. Software troubleshooting
16. Networking issue troubleshooting
17. Virtualization (VMware, Hyper-V)
18. Resource utilization optimization
19. Rapid deployment
20. System scalability improvement
21. System resilience improvement
22. Network security
23. Data protection measures
24. Vulnerability exposure reduction
25. System scalability
26. System resilience
27. System deployment
28. System configuration
29. System upgrade
30. System rollout",System Administration_13.docx,Claire Dubois,Reject,Does not show sufficient interaction with large data sets
Claire Dubois,Female,"Bachelor of Science in Computer Science, Sorbonne University, Paris, France, 2012.",Orange S.A.,claire.dubois@example.com,linkedin.com/in/clairedubois-it,+33 6 12 34 56 78,French,Systems Administrator,Bachelor of Science in Computer Science,12 years,"1. Server administration
2. Network administration
3. Database system administration
4. Cybersecurity
5. System audits
6. Compliance with IT security standards
7. Cloud infrastructure deployment (AWS, Azure)
8. Cloud infrastructure management
9. Disaster recovery
10. Scripting languages (PowerShell, Bash)
11. Automation
12. Routine task automation
13. System efficiencies improvement
14. Hardware troubleshooting
15. Software troubleshooting
16. Networking issue troubleshooting
17. Virtualization (VMware, Hyper-V)
18. Resource utilization optimization
19. Rapid deployment
20. System scalability improvement
21. System resilience improvement
22. Network security
23. Data protection measures
24. Vulnerability exposure reduction
25. System scalability
26. System resilience
27. System deployment
28. System configuration
29. System upgrade
30. System rollout",System Administration_13.docx,Claire Dubois,Accept,Has displayed strong problem solving skills
Claire Dubois,Female,"Bachelor of Science in Computer Science, Sorbonne University, Paris, France, 2012.",Orange S.A.,claire.dubois@example.com,linkedin.com/in/clairedubois-it,+33 6 12 34 56 78,French,Systems Administrator,Bachelor of Science in Computer Science,12 years,"1. Server administration
2. Network administration
3. Database system administration
4. Cybersecurity
5. System audits
6. Compliance with IT security standards
7. Cloud infrastructure deployment (AWS, Azure)
8. Cloud infrastructure management
9. Disaster recovery
10. Scripting languages (PowerShell, Bash)
11. Automation
12. Routine task automation
13. System efficiencies improvement
14. Hardware troubleshooting
15. Software troubleshooting
16. Networking issue troubleshooting
17. Virtualization (VMware, Hyper-V)
18. Resource utilization optimization
19. Rapid deployment
20. System scalability improvement
21. System resilience improvement
22. Network security
23. Data protection measures
24. Vulnerability exposure reduction
25. System scalability
26. System resilience
27. System deployment
28. System configuration
29. System upgrade
30. System rollout",System Administration_13.docx,Claire Dubois,Accept,Displays strong problem solving skills
Ethan Thompson,Male,"Bachelor of Science in Information Technology, University of Toronto, Toronto, ON, 2012",Bell Canada,ethan.thompson@example.com,https://www.linkedin.com/in/ethanthompson-it,+1 555-789-0123,Canadian,Systems Administrator,Bachelor of Science in Information Technology.,10 years,"1. Server administration
2. Network management
3. Database management
4. Azure environment management
5. AWS environment management
6. Cybersecurity
7. System auditing
8. IT security standards compliance
9. Cloud infrastructure deployment
10. Cloud infrastructure management
11. Disaster recovery
12. Flexibility and scalability enhancement
13. PowerShell scripting
14. Bash scripting
15. Automation
16. Virtualization (VMware and Hyper-V)
17. Resource utilization optimization
18. Rapid deployment
19. Troubleshooting (hardware, software, and networking)
20. Firewall implementation
21. Monitoring tool implementation
22. Incident response planning
23. Scripting (automated system health checks)
24. System health checks
25. Server consolidation
26. Cloud migration
27. Disaster recovery plan design
28. Data recovery time reduction
29. System upgrades
30. System backups
31. System maintenance
32. Scripting (automated tasks)",System Administration_14.docx,Ethan Thompson,Accept,Displays skills for data protection and security
Ahmed Al-Rashed,Male,"Master of Science in Data Science, Khalifa University, Abu Dhabi, UAE, 2015
Bachelor of Science in Computer Engineering, American University of Sharjah, Sharjah, UAE, 2013",Etisalat.,ahmed.alrashed@example.com,linkedin.com/in/ahmedalrashed-ai,+971 50 123 4567,Emirati,Lead Data Scientist.,"1. Master of Science in Data Science 
2. Bachelor of Science in Computer Engineering",10.67 years,"1. Python
2. R
3. TensorFlow
4. PyTorch
5. Keras
6. Pandas
7. NumPy
8. Scikit-learn
9. spaCy
10. Matplotlib
11. Seaborn
12. Tableau
13. Hadoop
14. Spark
15. AWS
16. Azure
17. GCP
18. DataCamp Data Scientist with Python Track
19. Deep Learning Specialization (Coursera)",DS_AIML_6.docx,Ahmed Al-Rashed,Accept,Displays problem solving excellence
